Rk,Player,Ht.,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
1,Christian Koloko,1-Jul,2022-23,22,TOR,58,19,0,13.8,1.2,2.6,1.2,2.4,0,0.2,0.6,1,1.4,1.5,2.9,0.5,0.4,1,0.3,2.2,3.1,0.48,0.514,0.083,0.627,0.517,48.333,C,kolokch01
2,John Butler,Jul-00,2022-23,20,POR,19,1,0,11.6,0.9,2.8,0.5,0.9,0.4,1.8,0.2,0.2,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,0.321,0.5,0.229,0.75,0.411,39.623,C,butlejo01
3,Walker Kessler,Jul-00,2022-23,21,UTA,74,40,0,23,4,5.6,4,5.6,0,0,1.1,2.1,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,0.72,0.723,0.333,0.516,0.702,72.101,C,kesslwa01
4,Orlando Robinson,Jul-00,2022-23,22,MIA,31,1,0,13.7,1.5,2.9,1.5,2.7,0,0.2,0.7,1,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,0.528,0.566,0,0.71,0.565,52.809,F,robinor01
5,Mark Williams,Jul-00,2022-23,21,CHO,43,17,0,19.3,3.7,5.8,3.7,5.8,0,0,1.6,2.3,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,9,0.637,0.637,,0.691,0.659,63.745,C,willima07
6,Moussa Diabaté,11-Jun,2022-23,21,LAC,22,1,0,8.9,1.1,2.1,1,2,0,0.1,0.5,0.7,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,0.511,0.511,0.5,0.625,0.546,52.128,F,diabamo01
7,Jabari Smith Jr.,11-Jun,2022-23,19,HOU,79,79,0,31,4.6,11.3,3.1,6.3,1.5,4.9,2.1,2.6,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8,0.408,0.487,0.307,0.786,0.514,47.534,F,smithja05
8,Paolo Banchero,10-Jun,2022-23,20,ORL,72,72,0,33.8,6.7,15.6,5.5,11.6,1.2,4,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20,0.427,0.471,0.298,0.738,0.529,46.48,F,banchpa01
9,Chance Comanche,10-Jun,2022-23,26,POR,1,0,0,21,3,5,3,5,0,0,1,4,2,1,3,0,0,1,0,0,7,0.6,0.6,,0.25,0.518,60,F-C,comanch01
10,Ousmane Dieng,10-Jun,2022-23,19,OKC,39,1,0,14.6,1.9,4.6,1.3,2.1,0.7,2.5,0.4,0.6,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9,0.42,0.602,0.265,0.652,0.505,49.171,F,diengou01
11,Jalen Duren,10-Jun,2022-23,19,DET,67,31,0,24.9,3.9,5.9,3.9,5.9,0,0,1.4,2.3,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,0.648,0.652,0,0.611,0.655,64.824,C,durenja01
12,Nikola Jović,10-Jun,2022-23,19,MIA,15,8,0,13.6,1.9,4.6,1.3,2.3,0.5,2.3,1.2,1.3,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,0.406,0.588,0.229,0.947,0.53,46.377,G-F,jovicni01
13,Patrick Baldwin Jr.,9-Jun,2022-23,20,GSW,31,0,0,7.3,1.4,3.5,0.4,0.8,1,2.7,0.1,0.2,0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,0.394,0.44,0.381,0.667,0.546,54.128,G-F,baldwpa01
14,Dominick Barlow,9-Jun,2022-23,19,SAS,28,0,0,14.6,1.6,3.1,1.6,2.9,0,0.1,0.6,0.9,1.6,2,3.6,0.9,0.4,0.7,0.5,2,3.9,0.535,0.561,0,0.72,0.567,53.488,F,barlodo01
