Rk,Player,MP,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
1,Joel Embiid,2284,2022-23,28,PHI,66,66,1,34.6,11,20.1,10,17.1,1,3,10,11.7,1.7,8.4,10.2,4.2,1,1.7,3.4,3.1,33.1,0.548,0.587,0.33,0.857,0.655,57.304,C,embiijo01
2,Luka Dončić,2391,2022-23,23,DAL,66,66,1,36.2,10.9,22,8.1,13.8,2.8,8.2,7.8,10.5,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.4,0.496,0.588,0.342,0.742,0.609,56.004,G-F,doncilu01
3,Damian Lillard,2107,2022-23,32,POR,58,58,1,36.3,9.6,20.7,5.4,9.4,4.2,11.3,8.8,9.6,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9,32.2,0.463,0.574,0.371,0.914,0.645,56.406,G,lillada01
4,Shai Gilgeous-Alexander,2416,2022-23,24,OKC,68,68,1,35.5,10.4,20.3,9.5,17.8,0.9,2.5,9.8,10.9,0.9,4,4.8,5.5,1.6,1,2.8,2.8,31.4,0.51,0.533,0.345,0.905,0.626,53.077,G,gilgesh01
5,Giannis Antetokounmpo,2024,2022-23,28,MIL,63,63,1,32.1,11.2,20.3,10.5,17.6,0.7,2.7,7.9,12.3,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,0.553,0.596,0.275,0.645,0.605,57.16,F-G,antetgi01
6,Jayson Tatum,2732,2022-23,24,BOS,74,74,1,36.9,9.8,21.1,6.6,11.8,3.2,9.3,7.2,8.4,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,0.466,0.558,0.35,0.854,0.607,54.33,F,tatumja01
7,Stephen Curry,1941,2022-23,34,GSW,56,56,1,34.7,10,20.2,5.1,8.8,4.9,11.4,4.6,5,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,0.493,0.579,0.427,0.915,0.656,61.386,G,curryst01
8,Kevin Durant,1672,2022-23,34,BRKPHO,47,47,1,35.6,10.3,18.3,8.3,13.4,2,4.9,6.5,7.1,0.4,6.3,6.7,5,0.7,1.4,3.3,2.1,29.1,0.56,0.617,0.404,0.919,0.677,61.427,F-G,duranke01
9,LeBron James,1954,2022-23,38,LAL,55,54,1,35.5,11.1,22.2,8.9,15.3,2.2,6.9,4.6,5.9,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,0.5,0.58,0.321,0.768,0.583,54.922,F-G,jamesle01
10,Donovan Mitchell,2432,2022-23,26,CLE,68,68,1,35.8,10,20.6,6.4,11.3,3.6,9.3,4.7,5.4,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,0.484,0.566,0.386,0.867,0.614,57.168,G,mitchdo01
